,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
18.0,2016,6.0,108243.49,93358.73,114015.4,37637.67,86634.1,51891.6,17110.64,0.0,0.0,69089.35,99533.98,153801.99
18.0,2016,7.0,2217.03,668.5933333333334,1145.9033333333332,300.9642857142857,958.9666666666667,519.0500000000001,593.82,784.0533333333334,784.0533333333334,828.0,828.0,1216.5633333333333
18.0,2017,5.0,82425.36,126598.18,333616.29,254751.64,263046.53,188341.97,168097.9,48611.28,-113582.07285714286,47256.64,33773.96,86248.56
18.0,2017,6.0,129817.39499999999,172868.74,147451.43,126389.79,111558.43,68743.51,39501.82,0.0,0.0,8310.37,13499.625000000002,59572.68
18.0,2017,7.0,655.6866666666666,567.8000000000001,740.1133333333333,1379.02,828.0,567.8000000000001,611.7433333333333,863.1,439.77,669.5366666666667,272.3966666666667,479.1466666666667
18.0,2018,8.0,544.7933333333334,41285.894,33665.256,33798.498,29762.609999999993,24822.548,15858.641999999998,10301.019999999999,12733.38,12133.923999999999,18915.129999999997,47283.71666666667
18.0,2019,8.0,27855.0775,52859.352,41733.456000000006,34623.590000000004,39201.074,29254.412,18153.216,3820.353333333334,3060.6200000000003,3439.254,15978.184999999998,61419.815
18.0,2020,1.0,17538.9,14498.15,39723.3,11553.9,7831.8,5882.4,6013.5,4699.8,6741.0,6570.9,5588.1,36848.4875
19.0,2016,5.0,1128156.1,871508.24,243624.645,700764.25,1035606.25,864357.8,669409.83,779289.41,765481.45,988659.42,883367.48,1122047.78
19.0,2016,6.0,227253.24,228757.09,51507.725,109033.015,175327.46,87172.42,23796.82,0.0,0.0,145626.96,64874.02,146288.59
19.0,2016,7.0,6987.57,2364.7333333333336,3134.2566666666667,2656.9500000000003,2254.42,2142.2599999999998,2179.6466666666665,2747.6533333333336,2578.8033333333333,3623.0533333333337,3051.796666666667,4096.043333333334
19.0,2017,5.0,402955.84,1205730.03,1518457.37,1262479.19,1366405.52,1139902.0,1081218.23,327218.72,-627580.4828571427,293697.28,118621.36,448645.44
19.0,2017,6.0,168618.315,246318.76,209177.72,199874.93,168828.83,103453.57,55836.86,0.0,0.0,26063.9,39898.805,138309.02
19.0,2017,7.0,3440.3566666666666,3605.75,2953.5200000000004,3311.9900000000002,3355.933333333333,3308.5266666666666,3484.3033333333333,3615.7566666666667,1081.28,2219.476666666667,1166.462857142857,3265.1766666666663
19.0,2018,8.0,3622.876666666667,150161.79200000002,139957.118,143665.26400000002,129035.63200000001,125715.522,82968.37000000001,95933.3275,93807.55249999999,82252.568,36538.471538461534,144969.41900000002
19.0,2019,8.0,75987.62000000001,212358.614,175825.414,146421.21000000002,164952.128,110426.326,86317.92000000001,96383.94750000001,3063.193333333333,32084.47555555556,153802.41,149809.98200000002
19.0,2020,1.0,495158.27,561786.3,436882.2,377568.0,321126.6,292558.2,328827.3,355672.8,359534.7,199685.495,405462.71,2521430.2399999998
19.0,2020,2.0,530189.63,310665.64,342161.96,278898.64,223524.25,153500.86,66768.77,3248.0,0.0,213007.87,329253.81,1644297.665
19.0,2020,3.0,2529.83,1951.1433333333332,2424.4733333333334,3339.4933333333333,2766.226666666667,1540.89,2235.0633333333335,2876.9199999999996,3511.1366666666668,1981.366,3263.7033333333334,18737.953333333327
19.0,2021,5.0,244040.40000000002,211944.6,208577.25,194931.45,205216.2,164911.94999999998,181399.05000000002,188918.55,179420.69999999998,179141.25,122009.12666666666,178823.85
19.0,2021,9.0,463250.945,719121.07,119826.0,707337.18,93492.14,124387.72,74486.08,0.0,0.0,29329.28,35473.46666666667,259593.22
19.0,2021,10.0,4378.835,3910.023333333333,5413.786666666667,3163.9966666666664,4675.64,3995.27,6636.32,5258.59,5923.793333333334,3651.103333333334,1891.8771428571429,4900.48
20.0,2016,5.0,9398.65,12118.45,11581.06,9661.85,14849.21,11756.54,11866.21,12303.23,12543.48,13959.68,9470.83,8396.045
20.0,2017,5.0,1878.56,11380.18,7662.65,6499.35,5803.89,4627.94,3881.91,1538.72,-3318.8685714285716,1581.2,1996.56,1859.68
20.0,2018,8.0,0.0,45682.98,38540.155,38077.265,35367.56,28902.045000000002,17873.01,1412.6,2233.88,8010.515,18645.0,26964.043333333335
20.0,2019,8.0,104019.64,61197.145000000004,48746.805,37394.405000000006,42874.095,31797.484999999997,24136.065000000002,1476.3,1687.2,9048.56,29359.83,42239.035
20.0,2020,1.0,3078.0,3357.3,2228.7,2217.3,1339.5,723.9,1083.0,900.9,1247.4,2501.1,3137.4,13729.650000000001
20.0,2020,2.0,91175.99,118637.71,121918.72,106358.69,93247.88,71119.25,36863.45,0.0,0.0,27442.93,50634.43,432611.255
20.0,2021,5.0,2573.55,2406.6,2898.0,2192.4,2627.1,1833.3,1260.0,1055.7,1283.4,1587.0,2911.8,3015.3
20.0,2021,9.0,100184.535,125272.34,128302.49,111626.8,102470.34,60180.37,27033.63,0.0,0.0,14947.78,63232.2,95160.47
21.0,2020,1.0,359086.12,291902.01,289251.35,0.0,267020.29,0.0,266206.87,305938.02,300187.96,283772.6,297367.36,1908468.01
21.0,2020,2.0,458762.11,427482.4,349811.13,257698.61,199986.36,7577.04,6124.99,7837.52,2520.19,8696.05,175588.29,1218155.215
21.0,2020,3.0,2284.965,2261.655,2401.545,2506.935,0.0,1465.27,1518.245,2102.81,3308.08,2513.395,2227.85,14166.257499999998
22.0,2020,1.0,273.78,182.92,124.68,0.0,99.07499999999999,0.0,60.910000000000004,215.16,175.1,107.67,101.76,1463.3899999999999
22.0,2020,2.0,30551.05,28647.55,25001.6,17509.03,10919.39,831.62,0.0,0.0,0.0,0.0,10338.33,75026.455
22.0,2020,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.235,0.0,39.235
22.0,2021,9.0,17093.225,22598.67,16450.5,13387.49,10321.72,0.0,0.0,0.0,0.0,0.0,8466.52,17205.02
22.0,2021,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.36,0.0,0.0,0.0,0.0
23.0,2016,5.0,207436.195,243853.875,200374.355,91813.585,188984.71500000003,91504.7475,174788.795,216255.715,131055.14666666668,202006.875,187982.02,220589.11500000002
23.0,2016,6.0,0.0,57722.71833333332,47442.53166666667,24238.777,17269.653333333332,-8034.214,2527.6549999999997,1988.8625000000002,3977.73,0.0,23495.98166666667,41371.60687499999
23.0,2016,7.0,0.0,288.8944444444445,649.39,284.0505882352941,635.8888888888889,48.12999999999999,556.73,379.326,478.13727272727266,422.7333333333333,483.561111111111,409.22349999999994
23.0,2017,5.0,224107.81,239294.36,216283.155,210210.86500000002,202632.80500000002,144765.34666666668,410027.52,145743.69333333333,419033.11,376452.6,142954.00666666668,522697.34
23.0,2017,6.0,0.0,44507.213333333326,27918.181999999993,26550.668333333335,1477.5575,1354.695,4871.6075,4875.72,2844.8550000000005,20611.214,44144.76499999999,92916.55600000001
